train/test on models/fasttext.conf
Your CPU supports instructions that this binary was not compiled to use: SSE3 SSE4.1 SSE4.2 AVX AVX2
For maximum performance, you can install NMSLIB from sources 
pip install --no-binary :all: nmslib
2022-05-16 07:35:19,057[INFO]:zensols.deeplearn.model.executor.status resetting executor
2022-05-16 07:35:19,057[INFO]:zensols.deeplearn.model.facade training...
2022-05-16 07:35:19,091[INFO]:zensols.install.installer rename: False, path (/work/tmp/.cache/zensols/deepnlp/glove.6B.50d.txt) exists: True
2022-05-16 07:35:19,091[INFO]:zensols.install.installer rename: False, path (/work/tmp/.cache/zensols/deepnlp/glove.6B.50d.txt) exists: True
2022-05-16 07:35:19,099[INFO]:zensols.deeplearn.model.executor.status batch iteration: gpu, limit: 9223372036854775807, caching: True, cached: 0
2022-05-16 07:35:19,099[INFO]:zensols.deeplearn.model.executor.status preparing datasets using iteration: gpu
2022-05-16 07:35:19,099[INFO]:zensols.deeplearn.model.executor.status using batch limit: 9223372036854775807 for train
2022-05-16 07:35:19,105[INFO]:zensols.deeplearn.batch.stash loaded batch 11 (train) in 0s
2022-05-16 07:35:19,108[INFO]:zensols.deeplearn.batch.stash loaded batch 12 (train) in 0s
2022-05-16 07:35:19,112[INFO]:zensols.deeplearn.batch.stash loaded batch 13 (train) in 0s
2022-05-16 07:35:19,116[INFO]:zensols.deeplearn.batch.stash loaded batch 14 (train) in 0s
2022-05-16 07:35:19,119[INFO]:zensols.deeplearn.batch.stash loaded batch 15 (train) in 0s
2022-05-16 07:35:19,122[INFO]:zensols.deeplearn.batch.stash loaded batch 16 (train) in 0s
2022-05-16 07:35:19,154[INFO]:zensols.deeplearn.batch.stash loaded batch 17 (train) in 0s
2022-05-16 07:35:19,158[INFO]:zensols.deeplearn.batch.stash loaded batch 18 (train) in 0s
2022-05-16 07:35:19,162[INFO]:zensols.deeplearn.batch.stash loaded batch 19 (train) in 0s
2022-05-16 07:35:19,165[INFO]:zensols.deeplearn.batch.stash loaded batch 20 (train) in 0s
2022-05-16 07:35:19,168[INFO]:zensols.deeplearn.batch.stash loaded batch 21 (train) in 0s
2022-05-16 07:35:19,172[INFO]:zensols.deeplearn.batch.stash loaded batch 22 (train) in 0s
2022-05-16 07:35:19,175[INFO]:zensols.deeplearn.batch.stash loaded batch 23 (train) in 0s
2022-05-16 07:35:19,179[INFO]:zensols.deeplearn.batch.stash loaded batch 24 (train) in 0s
2022-05-16 07:35:19,182[INFO]:zensols.deeplearn.batch.stash loaded batch 25 (train) in 0s
2022-05-16 07:35:19,185[INFO]:zensols.deeplearn.batch.stash loaded batch 26 (train) in 0s
2022-05-16 07:35:19,189[INFO]:zensols.deeplearn.batch.stash loaded batch 27 (train) in 0s
2022-05-16 07:35:19,192[INFO]:zensols.deeplearn.batch.stash loaded batch 28 (train) in 0s
2022-05-16 07:35:19,195[INFO]:zensols.deeplearn.batch.stash loaded batch 29 (train) in 0s
2022-05-16 07:35:19,199[INFO]:zensols.deeplearn.batch.stash loaded batch 30 (train) in 0s
2022-05-16 07:35:19,202[INFO]:zensols.deeplearn.batch.stash loaded batch 31 (train) in 0s
2022-05-16 07:35:19,206[INFO]:zensols.deeplearn.batch.stash loaded batch 32 (train) in 0s
2022-05-16 07:35:19,209[INFO]:zensols.deeplearn.batch.stash loaded batch 33 (train) in 0s
2022-05-16 07:35:19,212[INFO]:zensols.deeplearn.batch.stash loaded batch 34 (train) in 0s
2022-05-16 07:35:19,216[INFO]:zensols.deeplearn.batch.stash loaded batch 35 (train) in 0s
2022-05-16 07:35:19,219[INFO]:zensols.deeplearn.batch.stash loaded batch 36 (train) in 0s
2022-05-16 07:35:19,222[INFO]:zensols.deeplearn.batch.stash loaded batch 37 (train) in 0s
2022-05-16 07:35:19,226[INFO]:zensols.deeplearn.batch.stash loaded batch 38 (train) in 0s
2022-05-16 07:35:19,230[INFO]:zensols.deeplearn.batch.stash loaded batch 39 (train) in 0s
2022-05-16 07:35:19,234[INFO]:zensols.deeplearn.batch.stash loaded batch 40 (train) in 0s
2022-05-16 07:35:19,237[INFO]:zensols.deeplearn.batch.stash loaded batch 41 (train) in 0s
2022-05-16 07:35:19,241[INFO]:zensols.deeplearn.batch.stash loaded batch 42 (train) in 0s
2022-05-16 07:35:19,244[INFO]:zensols.deeplearn.batch.stash loaded batch 43 (train) in 0s
2022-05-16 07:35:19,247[INFO]:zensols.deeplearn.batch.stash loaded batch 44 (train) in 0s
2022-05-16 07:35:19,251[INFO]:zensols.deeplearn.batch.stash loaded batch 45 (train) in 0s
2022-05-16 07:35:19,254[INFO]:zensols.deeplearn.batch.stash loaded batch 46 (train) in 0s
2022-05-16 07:35:19,257[INFO]:zensols.deeplearn.batch.stash loaded batch 47 (train) in 0s
